test_num,total_subgoal,solved_subgoal,success,total_time
0,16,10,False,10.893612146377563
1,16,10,False,11.49266266822815
2,16,10,False,10.848783016204834
3,16,10,False,12.804412603378296
4,16,10,False,9.989407539367676
5,16,10,False,12.338286399841309
6,16,10,False,11.369987964630127
7,16,10,False,11.53786587715149
8,16,10,False,11.88884425163269
9,16,10,False,11.1528480052948
10,16,10,False,13.25283694267273
11,16,10,False,8.721768379211426
12,16,10,False,8.34196138381958
13,16,10,False,12.57396125793457
14,16,10,False,11.031153440475464
15,16,10,False,12.184360027313232
16,16,10,False,10.695956707000732
17,16,10,False,10.716961145401001
18,16,10,False,9.342429637908936
19,16,10,False,12.622347354888916
20,15,15,True,12.80498194694519
21,15,15,True,12.269225597381592
22,15,15,True,12.048216581344604
23,15,15,True,12.42012906074524
24,15,15,True,9.950846672058105
25,15,15,True,9.090137481689453
26,15,15,True,10.889338254928589
27,15,15,True,9.024209022521973
28,15,15,True,11.92122197151184
29,15,15,True,10.792386054992676
30,15,15,True,8.518701553344727
31,15,15,True,8.820160388946533
32,15,15,True,6.79651951789856
33,15,15,True,12.225458860397339
34,15,15,True,8.661701917648315
35,15,15,True,9.94124984741211
36,15,15,True,6.9291462898254395
37,15,15,True,7.659761428833008
38,15,15,True,9.701497316360474
39,15,15,True,10.8273344039917
40,15,15,True,9.577658414840698
41,15,15,True,7.26080322265625
42,15,15,True,11.577352523803711
43,15,15,True,9.924378156661987
44,12,12,True,3.081986904144287
45,12,12,True,2.692807674407959
46,12,12,True,1.9902877807617188
47,12,12,True,2.7455151081085205
48,12,12,True,2.2561163902282715
49,12,12,True,3.1554315090179443
50,12,12,True,1.8472838401794434
51,12,12,True,1.8224735260009766
52,12,12,True,2.6586966514587402
53,12,12,True,2.6752841472625732
54,12,12,True,2.922680616378784
55,12,12,True,2.712290048599243
56,12,12,True,1.7736594676971436
57,12,12,True,2.10264253616333
58,12,12,True,1.9265356063842773
59,12,12,True,3.06693959236145
60,12,12,True,2.6096391677856445
61,12,12,True,2.45857310295105
62,12,12,True,3.2652180194854736
63,12,12,True,1.632359504699707
64,12,12,True,2.2612781524658203
65,12,12,True,1.958395004272461
66,12,12,True,2.127915620803833
67,12,12,True,2.196242094039917
68,12,12,True,1.3257732391357422
69,12,12,True,1.4266221523284912
70,12,12,True,1.2423062324523926
71,12,12,True,1.5881457328796387
72,12,12,True,1.327610969543457
73,12,12,True,1.4282991886138916
74,12,12,True,1.498227596282959
75,12,12,True,1.1836001873016357
76,12,12,True,1.389601230621338
77,12,12,True,1.6567058563232422
78,12,12,True,1.687577486038208
79,12,12,True,1.6063387393951416
80,12,12,True,1.6151363849639893
81,12,12,True,1.5075232982635498
82,12,12,True,1.7213387489318848
83,12,12,True,1.5554170608520508
84,12,12,True,1.408693790435791
85,12,12,True,1.5329904556274414
86,12,12,True,1.3825719356536865
87,12,12,True,1.2649381160736084
