test_num,total_subgoal,solved_subgoal,success,total_time
68,12,12,True,1.3257732391357422
69,12,12,True,1.4266221523284912
70,12,12,True,1.2423062324523926
71,12,12,True,1.5881457328796387
72,12,12,True,1.327610969543457
73,12,12,True,1.4282991886138916
74,12,12,True,1.498227596282959
75,12,12,True,1.1836001873016357
76,12,12,True,1.389601230621338
77,12,12,True,1.6567058563232422
78,12,12,True,1.687577486038208
79,12,12,True,1.6063387393951416
80,12,12,True,1.6151363849639893
81,12,12,True,1.5075232982635498
82,12,12,True,1.7213387489318848
83,12,12,True,1.5554170608520508
84,12,12,True,1.408693790435791
85,12,12,True,1.5329904556274414
86,12,12,True,1.3825719356536865
87,12,12,True,1.2649381160736084
