test_num,total_subgoal,solved_subgoal,success,total_time
0,16,16,True,11.506957769393921
1,16,16,True,15.15064263343811
2,16,16,True,13.604039192199707
3,16,16,True,14.592792510986328
4,16,16,True,14.306306838989258
5,16,16,True,14.715973854064941
6,16,16,True,10.761775732040405
7,16,16,True,10.260604858398438
8,16,16,True,9.47165846824646
9,16,16,True,11.198547601699829
10,16,16,True,11.483685970306396
11,16,16,True,12.2877037525177
12,16,16,True,11.956058979034424
13,16,16,True,11.349374532699585
14,16,16,True,11.291743040084839
15,16,16,True,14.186351299285889
16,16,16,True,12.123593807220459
17,16,16,True,12.59044599533081
18,16,16,True,11.087716817855835
19,16,16,True,10.680570602416992
20,15,15,True,7.025230169296265
21,15,15,True,9.916884422302246
22,15,15,True,9.404399871826172
23,15,15,True,9.000553369522095
24,15,15,True,9.230314254760742
25,15,15,True,10.1262366771698
26,15,15,True,8.952370882034302
27,15,15,True,8.89344048500061
28,15,15,True,8.539782285690308
29,15,15,True,6.95404839515686
30,15,15,True,9.794190168380737
31,15,15,True,12.37782621383667
32,15,15,True,8.104907751083374
33,15,15,True,8.77455186843872
34,15,15,True,7.949374675750732
35,15,15,True,7.450022459030151
36,15,15,True,10.23183298110962
37,15,15,True,7.0316689014434814
38,15,15,True,7.673103094100952
39,15,15,True,10.612491846084595
40,15,15,True,6.0901360511779785
41,15,15,True,8.70243215560913
42,15,15,True,9.91508436203003
43,15,15,True,9.320163488388062
44,12,12,True,2.7737088203430176
45,12,12,True,1.5283582210540771
46,12,12,True,1.925781488418579
47,12,12,True,1.7954533100128174
48,12,12,True,2.6891424655914307
49,12,12,True,1.8998723030090332
50,12,12,True,1.878072738647461
51,12,12,True,1.6171483993530273
52,12,12,True,1.7608630657196045
53,12,12,True,3.0476434230804443
54,12,12,True,2.5573341846466064
55,12,12,True,1.45758056640625
56,12,12,True,1.5646898746490479
57,12,12,True,2.687534809112549
58,12,12,True,1.9515800476074219
59,12,12,True,1.538952350616455
60,12,12,True,2.0333738327026367
61,12,12,True,1.9574131965637207
62,12,12,True,1.4753367900848389
63,12,12,True,1.7831335067749023
64,12,12,True,2.1535708904266357
65,12,12,True,2.304898977279663
66,12,12,True,2.0476105213165283
68,12,12,True,1.6923449039459229
69,12,12,True,1.1329822540283203
70,12,12,True,1.604245901107788
71,12,12,True,1.6034297943115234
72,12,12,True,1.5586185455322266
73,12,12,True,1.5925021171569824
74,12,12,True,1.6543903350830078
75,12,12,True,1.6694347858428955
76,12,12,True,1.3368573188781738
77,12,12,True,1.8476762771606445
78,12,12,True,1.4134211540222168
79,12,12,True,1.3570146560668945
80,12,12,True,1.542107343673706
81,12,12,True,1.5953528881072998
82,12,12,True,1.4383647441864014
83,12,12,True,1.576965093612671
84,12,12,True,0.8018391132354736
85,12,12,True,1.6977970600128174
86,12,12,True,1.6448321342468262
87,12,12,True,1.7683398723602295
